season,date,home,away,home goals,away goals,home->away,away->home
2003,2003-03-29,Athletico PR,Grêmio,2,0,3,0
2003,2003-03-29,Guarani,Vasco da Gama,4,2,3,0
2003,2003-03-30,Corinthians,Atlético MG,0,3,0,3
2003,2003-03-30,Goiás,Paysandu,2,2,1,1
2003,2003-03-30,Criciúma,Fluminense,2,0,3,0
2003,2003-03-30,Cruzeiro,São Caetano,2,2,1,1
2003,2003-03-30,Flamengo,Coritiba,1,1,1,1
2003,2003-03-30,Fortaleza,Bahia,0,0,1,1
2003,2003-03-30,Internacional,Ponte Preta,1,1,1,1
2003,2003-03-30,Juventude,São Paulo,2,2,1,1
2003,2003-03-30,Santos,Paraná,2,2,1,1
2003,2003-03-30,Vitória,Figueirense,1,1,1,1
2003,2003-04-05,Fluminense,Fortaleza,1,1,1,1
2003,2003-04-05,Atlético MG,Santos,0,0,1,1
2003,2003-04-05,Grêmio,Guarani,3,1,3,0
2003,2003-04-05,Coritiba,Internacional,0,1,0,3
2003,2003-04-06,Bahia,Flamengo,1,2,0,3
2003,2003-04-06,Vasco da Gama,Goiás,6,4,3,0
2003,2003-04-06,Figueirense,Corinthians,3,3,1,1
2003,2003-04-06,São Paulo,Cruzeiro,2,4,0,3
2003,2003-04-06,Paysandu,Vitória,1,2,0,3
2003,2003-04-06,Ponte Preta,Juventude,1,0,3,0
2003,2003-04-06,Paraná,Athletico PR,3,0,3,0
2003,2003-04-06,São Caetano,Criciúma,3,2,3,0
2003,2003-04-09,Paysandu,Santos,2,1,3,0
2003,2003-04-12,Internacional,Bahia,2,0,3,0
2003,2003-04-12,Athletico PR,Atlético MG,1,2,0,3
2003,2003-04-12,Corinthians,Paysandu,6,1,3,0
2003,2003-04-12,Santos,Figueirense,2,0,3,0
2003,2003-04-13,Cruzeiro,Ponte Preta,3,0,3,0
2003,2003-04-13,Vitória,Vasco da Gama,2,1,3,0
2003,2003-04-13,Flamengo,Fluminense,4,1,3,0
2003,2003-04-13,Criciúma,São Paulo,1,1,1,1
2003,2003-04-13,Fortaleza,São Caetano,1,1,1,1
2003,2003-04-13,Juventude,Coritiba,2,1,3,0
2003,2003-04-13,Guarani,Paraná,2,0,3,0
2003,2003-04-13,Goiás,Grêmio,1,1,1,1
2003,2003-04-16,São Caetano,Flamengo,1,1,1,1
2003,2003-04-16,Vasco da Gama,Corinthians,2,2,1,1
2003,2003-04-16,Bahia,Juventude,3,1,3,0
2003,2003-04-16,Grêmio,Vitória,2,1,3,0
2003,2003-04-16,Coritiba,Cruzeiro,3,4,0,3
2003,2003-04-16,Atlético MG,Guarani,3,2,3,0
2003,2003-04-16,Figueirense,Athletico PR,1,1,1,1
2003,2003-04-16,Ponte Preta,Criciúma,1,1,1,1
2003,2003-04-17,Fluminense,Internacional,3,1,3,0
2003,2003-04-17,Paraná,Goiás,3,1,3,0
2003,2003-04-17,São Paulo,Fortaleza,3,1,3,0
2003,2003-04-19,Flamengo,Santos,0,2,0,3
2003,2003-04-19,Bahia,Atlético MG,2,4,0,3
2003,2003-04-19,São Caetano,Grêmio,1,1,1,1
2003,2003-04-20,São Paulo,Vasco da Gama,3,1,3,0
2003,2003-04-20,Fluminense,Paraná,0,0,1,1
2003,2003-04-20,Cruzeiro,Goiás,4,1,3,0
2003,2003-04-20,Internacional,Corinthians,2,1,3,0
2003,2003-04-20,Ponte Preta,Paysandu,4,4,1,1
2003,2003-04-20,Fortaleza,Athletico PR,1,0,3,0
2003,2003-04-20,Juventude,Vitória,1,1,1,1
2003,2003-04-20,Criciúma,Guarani,1,0,3,0
2003,2003-04-21,Coritiba,Figueirense,1,0,3,0
2003,2003-04-26,Atlético MG,Coritiba,1,2,0,3
2003,2003-04-26,Paraná,Bahia,3,1,3,0
2003,2003-04-26,Guarani,Cruzeiro,1,1,1,1
2003,2003-04-26,Vitória,Internacional,0,3,0,3
2003,2003-04-27,Grêmio,Fluminense,0,1,0,3
2003,2003-04-27,Corinthians,Flamengo,1,1,1,1
2003,2003-04-27,Vasco da Gama,São Caetano,1,0,3,0
2003,2003-04-27,Goiás,Juventude,7,0,3,0
2003,2003-04-27,Paysandu,São Paulo,5,2,3,0
2003,2003-04-27,Santos,Fortaleza,4,0,3,0
2003,2003-04-27,Athletico PR,Criciúma,5,2,3,0
2003,2003-04-27,Figueirense,Ponte Preta,0,0,1,1
2003,2003-05-03,Bahia,Grêmio,2,1,3,0
2003,2003-05-03,Cruzeiro,Athletico PR,5,2,3,0
2003,2003-05-03,Flamengo,Vitória,2,1,3,0
2003,2003-05-04,Coritiba,Paraná,2,1,3,0
2003,2003-05-04,Criciúma,Santos,1,3,0,3
2003,2003-05-04,Fluminense,Vasco da Gama,0,0,1,1
2003,2003-05-04,Fortaleza,Corinthians,1,2,0,3
2003,2003-05-04,Internacional,Goiás,2,1,3,0
2003,2003-05-04,Juventude,Guarani,1,1,1,1
2003,2003-05-04,Ponte Preta,Atlético MG,2,1,3,0
2003,2003-05-04,São Caetano,Paysandu,2,0,3,0
2003,2003-05-04,São Paulo,Figueirense,3,2,3,0
2003,2003-05-10,Corinthians,Criciúma,3,0,3,0
2003,2003-05-10,Goiás,Flamengo,1,1,1,1
2003,2003-05-10,Paraná,Ponte Preta,3,2,3,0
2003,2003-05-10,Santos,Cruzeiro,0,2,0,3
2003,2003-05-11,Atlético MG,São Paulo,2,2,1,1
2003,2003-05-11,Athletico PR,Juventude,2,0,3,0
2003,2003-05-11,Figueirense,São Caetano,3,0,3,0
2003,2003-05-11,Grêmio,Coritiba,1,0,3,0
2003,2003-05-11,Guarani,Internacional,3,0,3,0
2003,2003-05-11,Paysandu,Fluminense,2,2,1,1
2003,2003-05-11,Vasco da Gama,Bahia,1,1,1,1
2003,2003-05-11,Vitória,Fortaleza,2,1,3,0
2003,2003-05-17,Juventude,Santos,1,1,1,1
2003,2003-05-17,Fluminense,Figueirense,3,0,3,0
2003,2003-05-17,São Caetano,Atlético MG,2,0,3,0
2003,2003-05-18,Bahia,Paysandu,2,0,3,0
2003,2003-05-18,São Paulo,Paraná,2,0,3,0
2003,2003-05-18,Coritiba,Vasco da Gama,1,1,1,1
2003,2003-05-18,Criciúma,Vitória,1,1,1,1
2003,2003-05-18,Cruzeiro,Corinthians,1,1,1,1
2003,2003-05-18,Flamengo,Guarani,1,1,1,1
2003,2003-05-18,Fortaleza,Goiás,1,0,3,0
